ncrb_state_raw,ncrb_district_raw,canonical_state,canonical_district,state_code,district_code_pc11
TAMIL NADU,TRICHY RURAL,TAMIL NADU,TRICHY,33,614.0
ARUNACHAL PRADESH,Pakkessang,ARUNACHAL PRADESH,KAMENG EAST,12,247.0
ASSAM,Dima Hasao,ASSAM,N.C.HILLS,18,315.0
ASSAM,UDALGURI,ASSAM,DARRANG,18,325.0
UTTAR PRADESH,Bahraich,UTTAR PRADESH,BAHRAICH,9,180.0
BIHAR,KATIHAR RLY.,BIHAR,KATIHAR,10,212.0
BIHAR,Jehanabad,BIHAR,JEHANABAD,10,239.0
D & N HAVELI,D&N HAVELI,D & N HAVELI,D & N HAVELI,26,496.0
ARUNACHAL PRADESH,Leparada,ARUNACHAL PRADESH,Lower Siang,12,250.0
HARYANA,Jind,HARYANA,JIND,6,77.0
JAMMU & KASHMIR,Doda,JAMMU & KASHMIR,DODA,1,16.0
JHARKHAND,Giridih,JHARKHAND,GIRIDIH,20,349.0
MANIPUR,Kangpokpi,MANIPUR,SENAPATI,14,272.0
UTTAR PRADESH,Saharanpur,UTTAR PRADESH,SAHARANPUR,9,132.0
UTTAR PRADESH,Bijnor,UTTAR PRADESH,BIJNOR,9,134.0
MADHYA PRADESH,Singrauli,MADHYA PRADESH,SIDHI,23,462.0
RAJASTHAN,JODHPUR EAST,RAJASTHAN,JODHPUR,8,113.0
MADHYA PRADESH,Shajapur,MADHYA PRADESH,SHAJAPUR,23,436.0
SIKKIM,West,SIKKIM,WEST,11,242.0
JAMMU & KASHMIR,Kulgam,JAMMU & KASHMIR,KULGAM,1,15.0
TAMIL NADU,Thiruvannamalai,TAMIL NADU,THIRUVANNAMALAI,33,606.0
JHARKHAND,Deoghar,JHARKHAND,DEOGHAR,20,350.0
ARUNACHAL PRADESH,Kukung Kumey,ARUNACHAL PRADESH,SUBANSIRI LOWER,12,255.0
ODISHA,Keonjhar,ODISHA,KEONJHAR,21,375.0
JHARKHAND,Jamtara,JHARKHAND,JAMTARA,20,363.0
BIHAR,Rohtas,BIHAR,ROHTAS,10,234.0
UTTAR PRADESH,Pratapgarh,UTTAR PRADESH,PRATAPGARH,9,173.0
CHHATTISGARH,Raipur,CHHATTISGARH,RAIPUR,22,410.0
ARUNACHAL PRADESH,Papum Pare City,ARUNACHAL PRADESH,PAPUM PARE,12,248.0
HARYANA,Palwal,HARYANA,FARIDABAD,6,88.0
MAHARASHTRA,MUMBAI COMMR.,MAHARASHTRA,MUMBAI,27,519.0
UTTAR PRADESH,Banda,UTTAR PRADESH,BANDA,9,170.0
JAMMU & KASHMIR,Rajouri,JAMMU & KASHMIR,RAJOURI,1,6.0
KERALA,Trivandrum Rural,KERALA,TRIVANDRUM,32,601.0
TAMIL NADU,Thoothugudi,TAMIL NADU,THOOTHUGUDI,33,627.0
TAMIL NADU,Namakkal,TAMIL NADU,NAMAKKAL,33,609.0
RAJASTHAN,Sawai Madhopur,RAJASTHAN,SAWAI MADHOPUR,8,108.0
HIMACHAL PRADESH,Lahaul & Spiti,HIMACHAL PRADESH,LAHAUL-SPITI,2,25.0
MANIPUR,Churachandpur,MANIPUR,CHURACHANDPUR,14,274.0
JAMMU & KASHMIR,Pulwama,JAMMU & KASHMIR,PULWAMA,1,12.0
BIHAR,Buxar,BIHAR,BUXAR,10,232.0
ARUNACHAL PRADESH,Tawang,ARUNACHAL PRADESH,TAWANG,12,245.0
MIZORAM,Lunglei,MIZORAM,LUNGLEI,15,286.0
ASSAM,Bongaigaon,ASSAM,BONGAIGAON,18,319.0
CHHATTISGARH,Kanker,CHHATTISGARH,KANKER,22,413.0
MAHARASHTRA,Parbhani,MAHARASHTRA,PARBHANI,27,513.0
MAHARASHTRA,AMRAVATI RURAL,MAHARASHTRA,AMRAVATI,27,503.0
Telangana,Jogulamba Gadwal,Telangana,NALGONDA,28,539.0
ANDAMAN & NICOBAR ISLANDS,North & Middle Andaman,ANDAMAN & NICOBAR ISLANDS,ANDAMAN,35,640.0
JHARKHAND,Jamshedpur,JHARKHAND,JAMSHEDPUR,20,357.0
GOA,North Goa,GOA,NORTH GOA,30,585.0
KARNATAKA,YADGIRI,KARNATAKA,GULBARGA,29,579.0
MADHYA PRADESH,Panna,MADHYA PRADESH,PANNA,23,426.0
CHHATTISGARH,Balodbazar,CHHATTISGARH,RAIPUR,22,410.0
KERALA,Ernakulam Rural,KERALA,ERNAKULAM,32,595.0
JHARKHAND,Jamshedpur Railway,JHARKHAND,JAMSHEDPUR,20,357.0
HARYANA,Bhiwani,HARYANA,BHIWANI,6,81.0
ODISHA,Malkangiri,ODISHA,MALKANGIR,21,399.0
HIMACHAL PRADESH,Mandi,HIMACHAL PRADESH,MANDI,2,27.0
ASSAM,Jorhat,ASSAM,JORHAT,18,312.0
WEST BENGAL,Jhargram Police District,WEST BENGAL,MIDNAPUR,19,344.0
DELHI UT,Rohini,DELHI UT,NORTH WEST,7,90.0
MAHARASHTRA,NASIK COMMR.,MAHARASHTRA,NASIK,27,516.0
MAHARASHTRA,Satara,MAHARASHTRA,SATARA,27,527.0
KARNATAKA,Bagalkot,KARNATAKA,BAGALKOT,29,556.0
UTTAR PRADESH,Badaun,UTTAR PRADESH,BADAUN,9,149.0
JAMMU & KASHMIR,Kathua,JAMMU & KASHMIR,KATHUA,1,7.0
UTTAR PRADESH,Fatehpur,UTTAR PRADESH,FATEHPUR,9,172.0
KARNATAKA,Shimoga,KARNATAKA,SHIMOGA,29,568.0
MAHARASHTRA,Palghar,MAHARASHTRA,THANE,27,517.0
TRIPURA,GOMATI,TRIPURA,SOUTH,16,290.0
DELHI UT,Outer,DELHI UT,NORTH WEST,7,90.0
UTTAR PRADESH,Barabanki,UTTAR PRADESH,BARABANKI,9,176.0
ODISHA,Sonepur,ODISHA,SONEPUR,21,392.0
JHARKHAND,Koderma,JHARKHAND,KODERMA,20,348.0
KARNATAKA,Kolar,KARNATAKA,KOLAR,29,581.0
ANDHRA PRADESH,Guntakal Railway,ANDHRA PRADESH,GUNTAKAL RLY.,28,553.0
WEST BENGAL,BDN CP,WEST BENGAL,24 PARGANAS NORTH,19,337.0
MAHARASHTRA,SOLAPUR RURAL,MAHARASHTRA,SOLAPUR,27,526.0
Telangana,Warangal City,Telangana,WARANGAL,28,540.0
JAMMU & KASHMIR,SAMBA,JAMMU & KASHMIR,JAMMU,1,21.0
HIMACHAL PRADESH,Kullu,HIMACHAL PRADESH,KULLU,2,26.0
MANIPUR,Thoubal,MANIPUR,THOUBAL,14,276.0
KARNATAKA,Mandya,KARNATAKA,MANDYA,29,573.0
ANDHRA PRADESH,WARANGAL URBAN,ANDHRA PRADESH,WARANGAL,28,540.0
BIHAR,Darbhanga,BIHAR,DARBHANGA,10,215.0
JAMMU & KASHMIR,DODA,JAMMU & KASHMIR,DODA,1,16.0
MADHYA PRADESH,Satna,MADHYA PRADESH,SATNA,23,429.0
MADHYA PRADESH,Jhabua,MADHYA PRADESH,JHABUA,23,464.0
BIHAR,Sheikhpura,BIHAR,SHEIKHPURA,10,228.0
DELHI UT,South-West,DELHI UT,SOUTH WEST,7,97.0
JHARKHAND,Godda,JHARKHAND,GODDA,20,351.0
GUJARAT,Arvalli,GUJARAT,Sabarkantha,24,472.0
JHARKHAND,Lohardagga,JHARKHAND,LOHARDAGGA,20,356.0
CHHATTISGARH,Bemetra,CHHATTISGARH,DURG,22,409.0
ASSAM,N. C. Hills,ASSAM,N.C.HILLS,18,315.0
RAJASTHAN,Jaipur Metro,RAJASTHAN,JAIPUR,8,110.0
PUNJAB,PATHANKOT,PUNJAB,GURDASPUR,3,35.0
KARNATAKA,Ballari,KARNATAKA,BELLARY,29,565.0
Telangana,Hyderabad City,Telangana,HYDERABAD CITY,28,536.0
PUNJAB,Faridkot,PUNJAB,FARIDKOT,3,45.0
UTTAR PRADESH,Basti,UTTAR PRADESH,BASTI,9,185.0
UTTAR PRADESH,Shamli,UTTAR PRADESH,MUZAFFARNAGAR,9,133.0
BIHAR,Bhagalpur,BIHAR,BHAGALPUR,10,224.0
TAMIL NADU,Thiruvarur,TAMIL NADU,THIRUVARUR,33,619.0
RAJASTHAN,Banswara,RAJASTHAN,BANSWARA,8,125.0
WEST BENGAL,Jalpaiguri,WEST BENGAL,JALPAIGURI,19,328.0
KARNATAKA,Bidar,KARNATAKA,BIDAR,29,558.0
ODISHA,Rayagada,ODISHA,RAYAGADA,21,396.0
ANDHRA PRADESH,Vizianagaram,ANDHRA PRADESH,VIZIANAGARAM,28,543.0
WEST BENGAL,South 24 Parganas,WEST BENGAL,24 PARGANAS SOUTH,19,343.0
BIHAR,MUZAFFARPUR RLY.,BIHAR,MUZAFFARPUR,10,216.0
UTTAR PRADESH,Faizabad,UTTAR PRADESH,FAIZABAD,9,177.0
GUJARAT,Porbandar,GUJARAT,PORBANDAR,24,478.0
ANDHRA PRADESH,West Godavari,ANDHRA PRADESH,WEST GODAVARI,28,546.0
UTTAR PRADESH,Bareilly,UTTAR PRADESH,BAREILLY,9,150.0
ARUNACHAL PRADESH,Lower Dibang Valley,ARUNACHAL PRADESH,DIBANG VALLEY,12,257.0
HARYANA,Sonipat,HARYANA,SONIPAT,6,76.0
ODISHA,Nabarangpur,ODISHA,NOWRANGPUR,21,397.0
JHARKHAND,Pakur,JHARKHAND,PAKUR,20,353.0
MAHARASHTRA,Pune Rural,MAHARASHTRA,PUNE,27,521.0
Telangana,Nalgonda,Telangana,NALGONDA,28,539.0
ASSAM,Sonitpur,ASSAM,SONITPUR,18,306.0
UTTAR PRADESH,CSM NAGAR,UTTAR PRADESH,SULTANPUR,9,179.0
DAMAN & DIU,Daman,DAMAN & DIU,DAMAN,25,495.0
WEST BENGAL,Bidhannagar PC,WEST BENGAL,24 PARGANAS NORTH,19,337.0
HARYANA,Gurgaon,HARYANA,GURGAON,6,86.0
ODISHA,Cuttack,ODISHA,CUTTACK,21,381.0
ARUNACHAL PRADESH,Kameng West,ARUNACHAL PRADESH,KAMENG WEST,12,246.0
PUDUCHERRY,KARAIKAL,PUDUCHERRY,PUDUCHERRY,34,635.0
UTTAR PRADESH,Hapur,UTTAR PRADESH,GHAZIABAD,9,140.0
ARUNACHAL PRADESH,Kurung Kumey,ARUNACHAL PRADESH,SUBANSIRI LOWER,12,255.0
ANDHRA PRADESH,Kurnool,ANDHRA PRADESH,KURNOOL,28,552.0
TAMIL NADU,Pudukottai,TAMIL NADU,PUDUKOTTAI,33,621.0
KERALA,KOLLAM COMMR.,KERALA,KOLLAM,32,600.0
MADHYA PRADESH,Shivpuri,MADHYA PRADESH,SHIVPURI,23,423.0
RAJASTHAN,Chittorgarh,RAJASTHAN,CHITTORGARH,8,126.0
MADHYA PRADESH,Raisen,MADHYA PRADESH,RAISEN,23,446.0
MAHARASHTRA,Jalgaon,MAHARASHTRA,JALGAON,27,499.0
UTTAR PRADESH,Fatehgarh,UTTAR PRADESH,FATEHGARH,9,159.0
MANIPUR,IMPHAL(EAST),MANIPUR,IMPHAL EAST,14,278.0
UTTAR PRADESH,J.P.NAGAR,UTTAR PRADESH,AMROHA,9,137.0
BIHAR,Muzaffarpur,BIHAR,MUZAFFARPUR,10,216.0
UTTAR PRADESH,Bulandshahar,UTTAR PRADESH,BULANDSHAHAR,9,142.0
UTTAR PRADESH,Mainpuri,UTTAR PRADESH,MAINPURI,9,148.0
UTTAR PRADESH,Muzaffarnagar,UTTAR PRADESH,MUZAFFARNAGAR,9,133.0
Telangana,Nirmal,Telangana,ADILABAD,28,532.0
ANDAMAN & NICOBAR ISLANDS,South Andaman,ANDAMAN & NICOBAR ISLANDS,ANDAMAN,35,640.0
RAJASTHAN,Bhilwara,RAJASTHAN,BHILWARA,8,122.0
ODISHA,Gajapati,ODISHA,GAJAPATI,21,389.0
DELHI UT,OUTER,DELHI UT,NORTH WEST,7,90.0
Telangana,Siddipet Commissionerate,Telangana,MEDAK,28,535.0
WEST BENGAL,PURAB MIDNAPUR,WEST BENGAL,MIDNAPUR,19,344.0
MADHYA PRADESH,Sagar,MADHYA PRADESH,SAGAR,23,427.0
BIHAR,Khagaria,BIHAR,KHAGARIA,10,223.0
JHARKHAND,Ranchi,JHARKHAND,RANCHI,20,364.0
TAMIL NADU,Vellore,TAMIL NADU,VELLORE,33,605.0
MAHARASHTRA,Pune Railway,MAHARASHTRA,PUNE,27,521.0
BIHAR,Lakhisarai,BIHAR,LAKHISARAI,10,227.0
GUJARAT,Dang,GUJARAT,AHWA-DANG,24,489.0
KERALA,Pathanamthitta,KERALA,PATHANAMTHITTA,32,599.0
RAJASTHAN,Pratapgarh,RAJASTHAN,CHITTORGARH,8,126.0
RAJASTHAN,KOTA RURAL,RAJASTHAN,KOTA,8,127.0
JAMMU & KASHMIR,RAMBAN,JAMMU & KASHMIR,DODA,1,16.0
ODISHA,Mayurbhanj,ODISHA,MAYURBHANJ,21,376.0
MADHYA PRADESH,Anuppur,MADHYA PRADESH,SHAHDOL,23,460.0
CHHATTISGARH,BEMETARA,CHHATTISGARH,DURG,22,409.0
MEGHALAYA,Ri-Bhoi,MEGHALAYA,RI-BHOI,17,297.0
PUNJAB,Tarn Taran,PUNJAB,TARN TARAN,3,50.0
BIHAR,Bhojpur,BIHAR,BHOJPUR,10,231.0
CHHATTISGARH,Mahasamund,CHHATTISGARH,MAHASAMUND,22,411.0
ODISHA,Puri,ODISHA,PURI,21,387.0
UTTAR PRADESH,Ballia,UTTAR PRADESH,BALLIA,9,193.0
WEST BENGAL,South 24 Parganas (old),WEST BENGAL,24 PARGANAS SOUTH,19,343.0
Telangana,Jayashankar Bhupalpalli,Telangana,WARANGAL,28,540.0
PUNJAB,CP Jalandhar,PUNJAB,JALANDHAR,3,37.0
WEST BENGAL,Dakshin Dinajpur,WEST BENGAL,DAKSHIN DINAJPUR,19,331.0
UTTAR PRADESH,Kanpur Dehat,UTTAR PRADESH,KANPUR DEHAT,9,163.0
WEST BENGAL,Nadia,WEST BENGAL,NADIA,19,336.0
TAMIL NADU,Dharmapuri,TAMIL NADU,DHARMAPURI,33,630.0
KARNATAKA,Davanagere,KARNATAKA,DAVANAGERE,29,567.0
UTTAR PRADESH,Kasganj,UTTAR PRADESH,ETAH,9,201.0
BIHAR,Muzaffarpur Railway,BIHAR,MUZAFFARPUR,10,216.0
TRIPURA,Dhalai,TRIPURA,DHALAI,16,291.0
TAMIL NADU,Railway Trichy,TAMIL NADU,TRICHY,33,614.0
ANDAMAN & NICOBAR ISLANDS,SOUTH,ANDAMAN & NICOBAR ISLANDS,ANDAMAN,35,640.0
JHARKHAND,Chatra,JHARKHAND,CHATRA,20,347.0
MEGHALAYA,Garo Hills East,MEGHALAYA,GARO HILLS EAST,17,294.0
HARYANA,Kurukshetra,HARYANA,KURUKSHETRA,6,72.0
CHHATTISGARH,NARAYANPUR,CHHATTISGARH,BASTAR,22,414.0
TAMIL NADU,SALEM URBAN,TAMIL NADU,SALEM,33,608.0
RAJASTHAN,Dungarpur,RAJASTHAN,DUNGARPUR,8,124.0
CHHATTISGARH,Jagdalpur,CHHATTISGARH,BASTAR,22,414.0
BIHAR,Katihar,BIHAR,KATIHAR,10,212.0
RAJASTHAN,Sikar,RAJASTHAN,SIKAR,8,111.0
ODISHA,Nayagarh,ODISHA,NAYAGARH,21,385.0
BIHAR,Jamalpur Railway,BIHAR,JAMALPUR RLY.,10,226.0
MAHARASHTRA,NAGPUR COMMR.,MAHARASHTRA,NAGPUR,27,505.0
HARYANA,Ambala,HARYANA,AMBALA,6,70.0
MIZORAM,Kolasib,MIZORAM,KOLASIB,15,282.0
ASSAM,Barpeta,ASSAM,BARPETA,18,303.0
BIHAR,Aurangabad,BIHAR,AURANGABAD,10,235.0
MAHARASHTRA,Sindhudurg,MAHARASHTRA,SINDHUDURG,27,529.0
MAHARASHTRA,Sangli,MAHARASHTRA,SANGLI,27,531.0
MAHARASHTRA,PUNE RLY.,MAHARASHTRA,PUNE,27,521.0
UTTAR PRADESH,Jhansi,UTTAR PRADESH,JHANSI,9,166.0
GUJARAT,Mehsana,GUJARAT,MEHSANA,24,471.0
ARUNACHAL PRADESH,Longding,ARUNACHAL PRADESH,TIRAP,12,254.0
GUJARAT,Bhavnagar,GUJARAT,BHAVNAGAR,24,481.0
WEST BENGAL,Paschim Medinipur,WEST BENGAL,MIDNAPUR,19,344.0
MEGHALAYA,Garo Hills North,MEGHALAYA,GARO HILLS EAST,17,294.0
GUJARAT,Panchmahal,GUJARAT,PANCHMAHAL,24,484.0
UTTAR PRADESH,Lalitpur,UTTAR PRADESH,LALITPUR,9,167.0
UTTAR PRADESH,Prayagraj,UTTAR PRADESH,ALLAHABAD,9,175.0
UTTAR PRADESH,Mathura,UTTAR PRADESH,MATHURA,9,145.0
WEST BENGAL,Asansol-Durgapur PC,WEST BENGAL,ASANSOL,19,335.0
PUNJAB,Fazilka,PUNJAB,FEROZPUR,3,43.0
UTTAR PRADESH,Shahjahanpur,UTTAR PRADESH,SHAHJAHANPUR,9,152.0
ASSAM,Kokrajhar,ASSAM,KOKRAJHAR,18,300.0
JHARKHAND,KHUNTI,JHARKHAND,RANCHI,20,364.0
MADHYA PRADESH,Gwalior,MADHYA PRADESH,GWALIOR,23,421.0
Telangana,Railway Police Secunderabad,Telangana,SECUNDERABAD RLY.,28,536.0
UTTARAKHAND,Almora,UTTARAKHAND,ALMORA,5,64.0
ASSAM,Baska,ASSAM,BAKSA,18,324.0
GUJARAT,Narmada,GUJARAT,NARMADA,24,487.0
ODISHA,Rourkela,ODISHA,ROURKELA,21,374.0
UTTAR PRADESH,Meerut,UTTAR PRADESH,MEERUT,9,138.0
SIKKIM,South,SIKKIM,SOUTH,11,243.0
CHHATTISGARH,Sarguja,CHHATTISGARH,SARGUJA,22,401.0
ARUNACHAL PRADESH,Dibang Valley,ARUNACHAL PRADESH,DIBANG VALLEY,12,257.0
MEGHALAYA,GARO HILLS SOUTH W.,MEGHALAYA,GARO HILLS WEST,17,293.0
JAMMU & KASHMIR,RAILWAYS JAMMU,JAMMU & KASHMIR,JAMMU,1,21.0
MAHARASHTRA,Solapur Rural,MAHARASHTRA,SOLAPUR,27,526.0
JHARKHAND,HAZARIBAGH,JHARKHAND,RAMGARH,20,361.0
RAJASTHAN,Hanumangarh,RAJASTHAN,HANUMANGARH,8,100.0
HARYANA,MEWAT,HARYANA,GURGAON,6,86.0
RAJASTHAN,Jaipur East,RAJASTHAN,JAIPUR,8,110.0
MAHARASHTRA,Mumbai Commr.,MAHARASHTRA,MUMBAI,27,519.0
UTTAR PRADESH,Kaushambi,UTTAR PRADESH,KAUSHAMBI,9,174.0
ARUNACHAL PRADESH,KURUNG KUMEY,ARUNACHAL PRADESH,SUBANSIRI LOWER,12,255.0
ARUNACHAL PRADESH,Papum Pare Rural,ARUNACHAL PRADESH,PAPUM PARE,12,248.0
ARUNACHAL PRADESH,Tirap,ARUNACHAL PRADESH,TIRAP,12,254.0
PUNJAB,Batala,PUNJAB,BATALA,3,35.0
MADHYA PRADESH,Indore Railway,MADHYA PRADESH,INDORE,23,439.0
DELHI UT,North,DELHI UT,NORTH,7,91.0
PUNJAB,Jalandhar Rural,PUNJAB,JALANDHAR,3,37.0
PUNJAB,JALANDHAR RURAL,PUNJAB,JALANDHAR,3,37.0
Telangana,Secunderabad Railway,Telangana,SECUNDERABAD RLY.,28,536.0
UTTARAKHAND,Rudra Prayag,UTTARAKHAND,RUDRA PRAYAG,5,58.0
ODISHA,Sambalpur,ODISHA,SAMBALPUR,21,372.0
JAMMU & KASHMIR,Kargil,JAMMU & KASHMIR,KARGIL,1,4.0
BIHAR,Siwan,BIHAR,SIWAN,10,218.0
MEGHALAYA,Jaintia Hills West,MEGHALAYA,JAINTIA HILLS,17,299.0
RAJASTHAN,Karauli,RAJASTHAN,KARAULI,8,107.0
JAMMU & KASHMIR,Samba,JAMMU & KASHMIR,JAMMU,1,21.0
UTTAR PRADESH,Khiri,UTTAR PRADESH,KHIRI,9,153.0
UTTAR PRADESH,Shrawasti,UTTAR PRADESH,SHRAWASTI,9,181.0
Telangana,Khammam,Telangana,KHAMMAM,28,541.0
Telangana,Ranga Reddy,Telangana,RANGA REDDY,28,537.0
PUNJAB,CP JALANDHAR,PUNJAB,JALANDHAR,3,37.0
ODISHA,Jharsuguda,ODISHA,JHARSUGUDA,21,371.0
KERALA,TRIVANDRUM COMMR.,KERALA,TRIVANDRUM,32,601.0
UTTAR PRADESH,St.Ravidasnagar,UTTAR PRADESH,ST.RAVIDASNAGAR,9,198.0
GUJARAT,SURAT COMMR.,GUJARAT,SURAT,24,492.0
UTTAR PRADESH,Sambhal,UTTAR PRADESH,MORADABAD,9,135.0
PUNJAB,CP Amritsar,PUNJAB,AMRITSAR,3,49.0
UTTAR PRADESH,Ayodhya,UTTAR PRADESH,FAIZABAD,9,177.0
UTTAR PRADESH,RAMABAI NAGAR,UTTAR PRADESH,KANPUR DEHAT,9,163.0
